statusId | label
8|climbing
statusId|sensorName|value|timestamp
8|Game Rotation Vector|[0.2899195,0.8001463,0.4104045,0.3275376]|1525758733620
8|Linear Acceleration|[1.5759201,-0.16287136,7.492323]|1525758733620
8|Gravity|[-2.8065398,8.303157,-4.399014]|1525758733620
8|3-axis Accelerometer|[-1.2018893,8.015787,3.3327289]|1525758733625
8|3-axis Uncalibrated Gyroscope|[0.3078708,0.034089502,-0.14061919,0.009587673,-0.0031958907,0.0021305939]|1525758733624
8|3-axis Gyroscope|[0.29828313,0.03728539,-0.14274979]|1525758733625
8|Game Rotation Vector|[0.289509,0.79993135,0.41105223,0.3276133]|1525758733625
8|Linear Acceleration|[1.6040843,-0.29359436,7.720334]|1525758733625
8|Gravity|[-2.8059735,8.3093815,-4.387605]|1525758733625
8|3-axis Uncalibrated Gyroscope|[0.29828313,0.06604841,-0.23436533,0.009587673,-0.0031958907,0.0021305939]|1525758733630
8|3-axis Gyroscope|[0.28869548,0.0692443,-0.23649593]|1525758733630
8|Game Rotation Vector|[0.28888062,0.79978234,0.41168743,0.32773402]|1525758733630
8|Linear Acceleration|[1.606488,-0.29900455,7.7085314]|1525758733629
8|Gravity|[-2.8083773,8.314792,-4.3758025]|1525758733630
8|3-axis Accelerometer|[-1.1875241,8.101978,3.6056678]|1525758733635
8|3-axis Uncalibrated Gyroscope|[0.2844343,0.07989727,-0.3100014,0.009587673,-0.0031958907,0.0021305939]|1525758733635
8|3-axis Gyroscope|[0.2748466,0.08309316,-0.312132]|1525758733634
8|Game Rotation Vector|[0.28806847,0.7997001,0.4122733,0.32791322]|1525758733635
8|Linear Acceleration|[1.6263824,-0.2171297,7.969699]|1525758733635
8|Gravity|[-2.8139064,8.319108,-4.3640313]|1525758733635
8|3-axis Uncalibrated Gyroscope|[0.27058542,0.09374613,-0.37285393,0.009587673,-0.0031958907,0.0021305939]|1525758733640
8|3-axis Gyroscope|[0.26099774,0.09694202,-0.37498453]|1525758733640
8|Game Rotation Vector|[0.2871051,0.7996622,0.41283745,0.3281406]|1525758733640
8|Linear Acceleration|[1.6343176,-0.22075558,7.9576426]|1525758733640
8|Gravity|[-2.8218417,8.322734,-4.351975]|1525758733640
8|3-axis Accelerometer|[-0.79008657,8.896853,4.1659107]|1525758733644
8|3-axis Uncalibrated Gyroscope|[0.2428877,0.08735435,-0.4133352,0.009587673,-0.0031958907,0.0021305939]|1525758733645
8|3-axis Gyroscope|[0.23330003,0.09055024,-0.4154658]|1525758733645
8|Game Rotation Vector|[0.28608438,0.7995882,0.41345188,0.32843864]|1525758733645
8|Linear Acceleration|[2.0407703,0.5699787,8.50409]|1525758733644
8|Gravity|[-2.8308568,8.326875,-4.3381796]|1525758733645
8|3-axis Uncalibrated Gyroscope|[0.20134112,0.058591332,-0.41866168,0.009587673,-0.0031958907,0.0021305939]|1525758733650
8|3-axis Gyroscope|[0.19175345,0.06178722,-0.42079228]|1525758733650
8|Game Rotation Vector|[0.28504068,0.79946256,0.41410556,0.3288282]|1525758733649
8|Linear Acceleration|[2.0508785,0.5652933,8.488459]|1525758733650
8|Gravity|[-2.840965,8.33156,-4.322548]|1525758733650
8|3-axis Accelerometer|[-0.5267244,9.528923,4.381389]|1525758733655
8|3-axis Uncalibrated Gyroscope|[0.15872924,0.031958908,-0.39522517,0.009587673,-0.0031958907,0.0021305939]|1525758733654
8|3-axis Gyroscope|[0.14914156,0.035154797,-0.39735577]|1525758733654
8|Game Rotation Vector|[0.28400826,0.79927653,0.4148103,0.32928517]|1525758733655
8|Linear Acceleration|[2.324664,1.1919394,8.686581]|1525758733655
8|Gravity|[-2.8513885,8.336984,-4.305192]|1525758733654
8|3-axis Uncalibrated Gyroscope|[0.1022685,0.02130594,-0.35687447,0.009587673,-0.0031958907,0.0021305939]|1525758733660
8|3-axis Gyroscope|[0.092680834,0.02450183,-0.35900506]|1525758733659
8|Game Rotation Vector|[0.2830792,0.7989618,0.41568837,0.32974157]|1525758733659
8|Linear Acceleration|[2.3324666,1.1842079,8.66638]|1525758733659
8|Gravity|[-2.859191,8.344715,-4.284991]|1525758733659
8|3-axis Accelerometer|[-0.7326257,9.639056,4.7165775]|1525758733664
8|3-axis Uncalibrated Gyroscope|[0.035154797,0.0,-0.3163932,0.009587673,-0.0031958907,0.0021305939]|1525758733665
8|3-axis Gyroscope|[0.025567126,0.0031958907,-0.3185238]|1525758733665
8|Game Rotation Vector|[0.28213695,0.79856306,0.41667208,0.33027285]|1525758733665
8|Linear Acceleration|[2.1345465,1.2853374,8.97863]|1525758733665
8|Gravity|[-2.8671722,8.353719,-4.2620525]|1525758733665
8|3-axis Uncalibrated Gyroscope|[-0.034089502,-0.035154797,-0.27058542,0.009587673,-0.0031958907,0.0021305939]|1525758733670
8|3-axis Gyroscope|[-0.043677174,-0.031958908,-0.27271602]|1525758733669
8|Game Rotation Vector|[0.28130388,0.79801804,0.4178156,0.33085558]|1525758733669
8|Linear Acceleration|[2.1406364,1.2740746,8.952358]|1525758733669
8|Gravity|[-2.8732622,8.364982,-4.2357807]|1525758733669
8|3-axis Accelerometer|[-0.6464345,9.907207,4.9464207]|1525758733674
8|3-axis Uncalibrated Gyroscope|[-0.08415846,-0.06604841,-0.22051647,0.009587673,-0.0031958907,0.0021305939]|1525758733674
8|3-axis Gyroscope|[-0.09374613,-0.06285252,-0.22264706]|1525758733674
8|Game Rotation Vector|[0.2805544,0.7973614,0.41906875,0.33148977]|1525758733675
8|Linear Acceleration|[2.2317297,1.5293818,9.153393]|1525758733675
8|Gravity|[-2.8781643,8.377825,-4.2069726]|1525758733675
8|3-axis Uncalibrated Gyroscope|[-0.113986775,-0.119313255,-0.15127216,0.009587673,-0.0031958907,0.0021305939]|1525758733680
8|3-axis Gyroscope|[-0.12357444,-0.116117366,-0.15340276]|1525758733680
8|Game Rotation Vector|[0.2799845,0.796582,0.42039365,0.33216727]|1525758733679
8|Linear Acceleration|[2.234656,1.5150747,9.122761]|1525758733679
